titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Gueliz - 2 chambres face au grand parc Harti,Marrakech,PRIX NON SPÉCIFIÉ,NaN,NaN,60,"Appartements, à vendre",Guéliz,1,1,21+ ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Gueliz___2_chambres_face_au_grand_parc_Harti_55065292.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j88?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre à Salé,Salé,850 000 DH,2,2,74,"Appartements, à vendre",Hay Chmaou,1,2,Neuf,https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_%C3%A0_vendre_%C3%A0_Sal%C3%A9_53324459.htm
Appartement standing ibn badis,El Jadida,PRIX NON SPÉCIFIÉ,NaN,NaN,120,"Appartements, à vendre",Centre,2,2,6-10 ans,https://www.avito.ma/fr/centre/appartements/Appartement_standing_ibn_badis_55292923.htm
Apprt en vente 153m² tanger centre ville,Tanger,2 000 000 DH,3,2,108,"Appartements, à vendre",Centre ville,1,8,6-10 ans,https://www.avito.ma/fr/centre_ville/appartements/Apprt_en_vente_153m%C2%B2_tanger_centre_ville__55183990.htm
Une belle opportunité premium avec Terrasse,Casablanca,1 100 000 DH,1,1,42,"Appartements, à vendre",Les Princesses,1,5,Neuf,https://www.avito.ma/fr/les_princesses/appartements/Une_belle_opportunit%C3%A9_premium_avec_Terrasse_55700405.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/4j3?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 98 m² à Temara,Temara,750 000 DH,2,2,98,"Appartements, à vendre",Skikina,2,4,Neuf,https://www.avito.ma/fr/skikina/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Temara_36996024.htm
Superbe appartement de 85m² - Al Majd Tanger,Tanger,750 000 DH,3,1,85,"Appartements, à vendre",El Majd,1,4,6-10 ans,https://www.avito.ma/fr/el_majd/appartements/Superbe_appartement_de_85m%C2%B2___Al_Majd_Tanger_53396833.htm
Superbe appartement 3chambres Val Fleuri,Casablanca,2 050 000 DH,3,2,142,"Appartements, à vendre",Val Fleuri,2,2,11-20 ans,https://www.avito.ma/fr/val_fleuri/appartements/Superbe_appartement_3chambres__Val_Fleuri_55710904.htm
Appartement à vendre 88 m² à Marrakech,Marrakech,680 000 DH,2,1,88,"Appartements, à vendre",Massira,1,1,Neuf,https://www.avito.ma/fr/massira/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Marrakech_55665578.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jTM?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre 90 m² à Tanja Balia Tanger,Tanger,1 080 000 DH,2,2,90,"Appartements, à vendre",Tanja Balia,1,2,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Tanja_Balia_Tanger_54631107.htm
Appartement à vendre de 118 m² à Ain El Hayani,Tanger,950 000 DH,2,1,118,"Appartements, à vendre",Ain El Hayani,1,4,1-5 ans,https://www.avito.ma/fr/ain_el_hayani/appartements/Appartement_%C3%A0_vendre_de_118_m%C2%B2_%C3%A0_Ain_El_Hayani__55312054.htm
appartement,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,116,"Appartements, à vendre",Sbata,1,1,Neuf,https://www.avito.ma/fr/sbata/appartements/appartement_54019135.htm
Appartement à vendre 96 m² à Martil,Martil,960 000 DH,3,2,96,"Appartements, à vendre",Toute la ville,1,2,6-10 ans,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Martil_54493261.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/H0A?utm_source=avito_integration&utm_medium=listing_integration
Nouveaux appartement à vendre de 50 m² à Tanger,Tanger,350 000 DH,2,1,49,"Appartements, à vendre",Aouama Gharbia,1,2,Neuf,https://www.avito.ma/fr/aouama_gharbia/appartements/Nouveaux_appartement_%C3%A0_vendre_de_50_m%C2%B2_%C3%A0_Tanger_53330018.htm
Appartement à vendre au Maarif,Casablanca,1 500 000 DH,3,2,126,"Appartements, à vendre",Maarif,1,1,11-20 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_au_Maarif_55652638.htm
