titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 81 m² à Kénitra,Kénitra,620 000 DH,2,1,81,"Appartements, à vendre",Mimosas,1,7+,6-10 ans,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_K%C3%A9nitra_33253207.htm
Appartement à vendre 123 m² à Tanger,Tanger,1 000 000 DH,3,2,123,"Appartements, à vendre",Haddad,1,3,1-5 ans,https://www.avito.ma/fr/haddad/appartements/Appartement_%C3%A0_vendre_123_m%C2%B2_%C3%A0_Tanger_55192856.htm
Appartement meublé à 10 min à pied de la plage,Saidia,49 000 DH,2,1,47,"Appartements, à vendre",Toute la ville,1,Rez de chaussée,1-5 ans,https://www.avito.ma/fr/saidia/appartements/Appartement_meubl%C3%A9_%C3%A0_10_min_%C3%A0_pied_de_la_plage_55646550.htm
Sublime 3 chambres ensoleillé 130 m² Av Annakhil,Rabat,3 150 000 DH,3,3,130,"Appartements, à vendre",Hay Riad,2,5,11-20 ans,https://www.avito.ma/fr/hay_riad/appartements/Sublime_3_chambres_ensoleill%C3%A9_130_m%C2%B2_Av_Annakhil_55562274.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jcQ?utm_source=avito_integration&utm_medium=listing_integration
Appart urbain de 76m² avec vue dégagée sur Rabat,Rabat,1 740 000 DH,1,0,76,"Appartements, à vendre",Agdal,1,4,Neuf,https://www.avito.ma/fr/agdal/appartements/Appart_urbain_de_76m%C2%B2_avec_vue_d%C3%A9gag%C3%A9e_sur_Rabat__55712180.htm
Vente Appartement à proximité de la gare routière,Tanger,PRIX NON SPÉCIFIÉ,2,1,49,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Vente_Appartement_%C3%A0_proximit%C3%A9_de_la_gare_routi%C3%A8re_53297845.htm
Appartement à vendre 81 m² à tanja balia,Tanger,972 000 DH,2,2,81,"Appartements, à vendre",Tanja Balia,1,Rez de chaussée,Neuf,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_tanja_balia__55181805.htm
Appartement Pour Investissement,Marrakech,870 000 DH,3,1,100,"Appartements, à vendre",Victor Hugo,1,Rez de chaussée,21+ ans,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_Pour_Investissement__55611510.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/jXq?utm_source=avito_integration&utm_medium=listing_integration
Appartement à vendre a Harhoura,Temara,1 500 000 DH,1,1,133,"Appartements, à vendre",Harhoura,2,Rez de chaussée,11-20 ans,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_a_Harhoura_55725151.htm
magnifique appartement à vendre,Casablanca,PRIX NON SPÉCIFIÉ,1,2,59,"Appartements, à vendre",Centre Ville,1,2,6-10 ans,https://www.avito.ma/fr/centre_ville/appartements/magnifique_appartement_%C3%A0_vendre_55713472.htm
Appartement à vendre 127 m² à Casablanca,Casablanca,2 160 000 DH,3,2,112,"Appartements, à vendre",Les Princesses,2,2,Neuf,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Casablanca_52698779.htm
Appartement de prestige à tanger avec vue sur mer,Tanger,PRIX NON SPÉCIFIÉ,3,2,132,"Appartements, à vendre",M'nar,1,3,Neuf,https://www.avito.ma/fr/m'nar/appartements/Appartement_de_prestige_%C3%A0_tanger_avec_vue_sur_mer_55651414.htm
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://immoneuf.avito.ma/fr/unite/j00?utm_source=avito_integration&utm_medium=listing_integration
Appartement 45m² Gauthier,Casablanca,1 130 000 DH,1,1,45,"Appartements, à vendre",Gauthier,1,3,11-20 ans,https://www.avito.ma/fr/gauthier/appartements/Appartement_45m%C2%B2_Gauthier_47791913.htm
Appartement Bonne affaire à vendre 132 m²,Temara,940 000 DH,2,1,132,"Appartements, à vendre",Ittihad Arabi,2,3,Neuf,https://www.avito.ma/fr/ittihad_arabi/appartements/Appartement_Bonne_affaire_%C3%A0_vendre_132_m%C2%B2__55519671.htm
Duplex de luxe à vendre de 133m² à Tanger,Tanger,PRIX NON SPÉCIFIÉ,3,3,133,"Appartements, à vendre",Iberie,1,7+,Neuf,https://www.avito.ma/fr/iberie/appartements/Duplex_de_luxe_%C3%A0_vendre_de_133m%C2%B2_%C3%A0_Tanger_55571497.htm
